RIC,YearMonth,TotalAdjNbSharesHeld,ETFHoldings,Date,Volatility,Date.1,AmihudRatio,Date.2,Bid,Ask,PctBidAskSpread,RetPast12to1M,Date.3,GrossProfit,TotalAssetsReported,GrossProfitability,Date.4,Close,CompanyMarketCap,PriceToBVPerShare
GSVC.OQ,2013-02-01,1474093.0,0.43645404938074217,2013-02-28,0.013180848936354022,2013-02-28,5.218710362159365e-08,2013-02-28,8.32,8.33,0.0012012012012011758,-0.495575221238938,2013-02-28,-456540.0,91798240.0,-0.0049732979630110535,2013-02-28,8.33,160936433.0,0.6193215479999999
CTIC.OQ,2010-01-01,41731.0,0.4322216468151217,2010-01-31,0.04973175119312874,2010-01-31,9.570486837336511e-09,2010-01-25,333.0,336.0,0.008968609865470852,12.491124260355024,2010-01-25,8188000.0,64243000.0,0.12745357470852856,2010-01-25,336.0,655211438.25,-54.514203921000004
CTIC.OQ,2009-12-01,41731.0,0.4322216468151217,2009-12-31,0.04240473736772517,2009-12-31,1.54418532406333e-08,2009-12-31,336.0,339.0,0.008888888888888889,6.108350586611456,2009-12-31,8188000.0,64243000.0,0.12745357470852856,2009-12-31,342.0,669181098.959999,-55.987560783999996
GEVO.OQ,2013-12-01,2313.0,0.42518382352941175,2013-12-31,0.06875868277265454,2013-12-31,9.199753593469247e-08,2013-12-31,8460.0,8520.0,0.00706713780918728,0.15584415584415584,2013-12-31,-8025000.0,156111000.0,-0.0514057305378865,2013-12-31,8580.0,93939484.21,1.041316801
TNDM.OQ,2018-08-01,2362300.0,0.4161176677822794,2018-08-31,0.03857358977166486,2018-08-31,1.2944449424031193e-09,2018-08-31,45.68,45.69,0.0002188902265513409,2.2809523809523804,2018-08-31,44094000.0,95346000.0,0.4624630293877037,2018-08-31,45.69,2590376685.21,93.446196495
GEVO.OQ,2012-02-01,1569.0,0.4107329842931937,2012-02-29,0.06047467147763365,2012-02-29,1.0344049870306307e-07,2012-02-28,53340.0,53520.0,0.003368893879842785,-0.5596144089294774,2012-02-28,3961000.0,133030000.0,0.02977523866796963,2012-02-28,53520.0,236029890.0,2.555846186
GSVC.OQ,2013-01-01,1356811.0,0.40172882931696585,2013-01-31,0.014976159446439229,2013-01-31,2.8753602287582564e-08,2013-01-31,8.54,8.55,0.0011702750146286207,-0.5207504263786242,2013-01-31,-456540.0,91798240.0,-0.0049732979630110535,2013-01-31,8.55,165186855.0,0.63567818
YRCW.OQ,2010-04-01,3206.0,0.40075,2010-04-30,0.07193031427318189,2010-04-30,5.197465322446671e-09,2010-04-30,4185.75,4187.25,0.00035829451809387314,-0.8205280528052805,2010-04-30,-306563000.0,3032074000.0,-0.10110670122167204,2010-04-30,4175.25,590281494.32,0.321299121
YRCW.OQ,2010-03-01,3205.0,0.400625,2010-03-31,0.057688584269570985,2010-03-31,1.1151668752155274e-08,2010-03-31,4057.5,4110.0,0.01285583103764922,-0.8973051224944321,2010-03-31,-306563000.0,3032074000.0,-0.10110670122167204,2010-03-31,4078.5,573198317.42,0.312004396
GSVC.OQ,2012-12-01,1336795.0,0.3958024296580536,2012-12-31,0.01700555731905035,2012-12-31,3.415410513804219e-08,2012-12-31,8.42,8.43,0.001186943620178016,-0.4265232974910394,2012-12-31,-456540.0,91798240.0,-0.0049732979630110535,2012-12-31,8.43,162868443.0,0.626756381
GSVC.OQ,2012-11-01,1331019.0,0.3940922535774243,2012-11-30,0.0262086200389836,2012-11-30,4.784418468454905e-08,2012-11-30,7.99,8.0,0.00125078173858659,-0.4475177304964539,2012-11-30,-456540.0,91798240.0,-0.0049732979630110535,2012-11-30,8.0,154560800.0,0.594786601
TERP.OQ,2015-12-01,11609122.0,0.3921735693534221,2015-12-31,0.09281931376158713,2015-12-31,5.115483765284978e-09,2015-12-31,10.460503,10.477146000000001,0.0015897677910258175,-0.7765544041450777,2015-12-31,108463000.0,3680423000.0,0.02947025382680197,2015-12-31,10.468824,1766197732.08,1.205524818
GSVC.OQ,2012-07-01,1321293.0,0.3912125491868077,2012-07-31,0.0316362139468107,2012-07-31,3.023013178254348e-08,2012-07-31,10.22,10.23,0.000977995110024429,-0.42521631644004937,2012-07-31,-456540.0,91798240.0,-0.0049732979630110535,2012-07-31,10.22,126436618.0,0.7555260859999999
TNDM.OQ,2018-07-01,2201007.0,0.3877060066936762,2018-07-31,0.040951272777055236,2018-07-31,2.5142111084247515e-09,2018-07-31,27.55,27.56,0.00036291054255118885,3.568464730290456,2018-07-31,44094000.0,95346000.0,0.4624630293877037,2018-07-31,27.56,1465920782.04,56.366320318999996
TERP.OQ,2016-02-01,11462649.0,0.3872254915208432,2016-02-29,0.047684366491571366,2016-02-29,9.281595403554415e-09,2016-02-29,8.022215,8.030536999999999,0.0010368315663257888,-0.7146559170745753,2016-02-29,108463000.0,3680423000.0,0.02947025382680197,2016-02-29,8.022215,1215840410.16,0.829876385
TERP.OQ,2016-01-01,11457399.0,0.3870481386392811,2016-01-31,0.06164152716083734,2016-01-31,9.456374641509213e-09,2016-01-25,7.947319,7.955641,0.0010465976145321019,-0.61339889366933,2016-01-25,108463000.0,3680423000.0,0.02947025382680197,2016-01-25,7.955641,1391337005.16,0.949662238
ARR.N,2011-10-01,282942.0,0.3866278593096663,2011-10-31,0.03975862747202122,2011-10-31,9.354641760720042e-09,2011-10-31,57.2,57.28,0.0013976240391334429,-0.07356948228882834,2011-10-31,8068950.0,1209223950.0,0.006672833431722883,2011-10-31,57.2,547438570.25,1.0012271209999999
GSVC.OQ,2012-09-01,1305498.0,0.3865359163624413,2012-09-30,0.019532685198956533,2012-09-30,3.638916044120369e-08,2012-09-24,8.69,8.72,0.003446295232625059,-0.3635693215339233,2012-09-24,-456540.0,91798240.0,-0.0049732979630110535,2012-09-24,8.72,166732463.0,0.624793644
GSVC.OQ,2012-08-01,1301925.0,0.3854780113873567,2012-08-31,0.025572051426436537,2012-08-31,3.345386876812908e-08,2012-08-31,8.63,8.65,0.002314814814814765,-0.3539823008849557,2012-08-31,-456540.0,91798240.0,-0.0049732979630110535,2012-08-31,8.63,166732463.0,0.624793644
GSVC.OQ,2012-10-01,1278187.0,0.3784495903690084,2012-10-31,0.015233001112068281,2012-10-31,4.390612490068897e-08,2012-10-31,7.77,7.79,0.0025706940874036586,-0.4359477124183006,2012-10-31,-456540.0,91798240.0,-0.0049732979630110535,2012-10-31,7.79,150503579.0,0.56397943
GEVO.OQ,2013-10-01,2008.0,0.3691176470588236,2013-10-31,0.02030844678637978,2013-10-31,2.4244796253430343e-07,2013-10-31,10200.0,10260.0,0.005865102639296189,-0.04950495049504952,2013-10-31,-8025000.0,156111000.0,-0.0514057305378865,2013-10-31,10200.0,80214323.2,1.001544431
GEVO.OQ,2013-09-01,2008.0,0.3691176470588236,2013-09-30,0.02170004932729555,2013-09-30,2.449714842580705e-07,2013-09-30,11340.0,11400.0,0.0052770448548812654,-0.13615023474178378,2013-09-30,-8025000.0,156111000.0,-0.0514057305378865,2013-09-30,11520.0,90119907.84,1.131156063
ARR.N,2011-11-01,257048.0,0.3512448416277227,2011-11-30,0.012010051380405248,2011-11-30,6.736096361302751e-09,2011-11-30,56.96,57.04,0.0014035087719297948,-0.04283801874163312,2011-11-30,8068950.0,1209223950.0,0.006672833431722883,2011-11-30,57.12,605232074.579999,1.053087458
ARR.N,2011-09-01,251050.0,0.34304883714574624,2011-09-30,0.010424831310353594,2011-09-30,3.408077493992724e-09,2011-09-30,54.24,54.32,0.001473839351510654,0.06695156695156705,2011-09-30,8068950.0,1209223950.0,0.006672833431722883,2011-09-30,54.4,520640878.0,0.9522160040000001
SIG.N,2006-03-01,2930263.0,0.3383675519630485,2006-03-31,0.014739666116575015,2006-03-31,1.0436938690493313e-07,2006-03-31,37.72,37.98,0.006869220607661771,-0.12914066250600087,2006-03-31,447589899.0,2473711439.0,0.1809386058306537,2006-03-31,37.96,3309721658.01136,2.324636307
TERP.OQ,2016-05-01,9909164.0,0.3347464360516181,2016-05-31,0.01942534162115959,2016-05-31,5.114730971902836e-09,2016-05-31,7.015277,7.023599000000001,0.0011855649982235909,-0.7338649389484175,2016-05-31,108463000.0,3680423000.0,0.02947025382680197,2016-05-31,7.023599000000001,1184953009.43999,0.808794075
DRYS.OQ,2012-05-01,10.0,0.3333333333333333,2012-05-31,0.03172333879428195,2012-05-31,1.7574005032927093e-08,2012-05-31,25754400.0,25872000.0,0.004555808656036446,-0.19058720334403045,2012-05-31,683967000.0,8621689000.0,0.07933097563598038,2012-05-31,25989600.0,938724559.24,0.334811495
SIG.N,2006-02-01,2813897.0,0.32493036951501153,2006-02-28,0.012008144938187972,2006-02-28,8.253443151856044e-08,2006-02-28,36.04,36.3,0.0071882775781033454,-0.17272727272727276,2006-02-28,447589899.0,2473711439.0,0.1809386058306537,2006-02-28,36.28,3149162204.69492,2.221754616
AROC.N,2018-12-01,22380143.0,0.32177569300667125,2018-12-31,0.03611889956735021,2018-12-31,1.0527282274596793e-08,2018-12-31,7.48,7.49,0.0013360053440213476,-0.028571428571428636,2018-12-31,375733000.0,2408007000.0,0.15603484541365534,2018-12-31,7.49,968733163.79,1.17025307659671
GEVO.OQ,2013-07-01,1724.0,0.31691176470588234,2013-07-31,0.024664129834083733,2013-07-31,1.0679687683003038e-07,2013-07-31,10980.0,11100.0,0.010869565217391304,-0.4768041237113403,2013-07-31,-8025000.0,156111000.0,-0.0514057305378865,2013-07-31,11040.0,86364911.68,0.922769568
SIG.N,2006-01-01,2721798.0,0.3142953810623557,2006-01-31,0.019740964313206537,2006-01-31,5.176493868576227e-08,2006-01-31,36.4,36.5,0.002743484224965745,-0.12171052631578945,2006-01-31,447589899.0,2473711439.0,0.1809386058306537,2006-01-31,36.4,3143313464.9285803,2.229103308
CTIC.OQ,2009-07-01,30052.0,0.3112584153288452,2009-07-31,0.05061280524930025,2009-07-31,1.0310081256918209e-08,2009-07-31,441.0,444.0,0.006779661016949152,-0.4972230342005262,2009-07-31,8188000.0,64243000.0,0.12745357470852856,2009-07-31,444.0,786856443.319999,-4.235772959
CTIC.OQ,2009-06-01,30052.0,0.3112584153288452,2009-06-30,0.13294909074952455,2009-06-30,7.303264627815247e-09,2009-06-30,510.0,516.0,0.011695906432748536,-0.7020833333333333,2009-06-30,8188000.0,64243000.0,0.12745357470852856,2009-06-30,516.0,794508017.52,-4.922655061
