Index,CUSIP,ISIN,OAPermID,RIC,SEDOL,LipperID,Ticker
ALLS.NS,,INE835G01018,4295874258,ALLS.NS,,,ALLSEC
EXCI.NS,,INE369A01029,4295872468,EXCI.NS,,,EXCELINDUS
ALIO.NS,,INE062D01024,4295874168,ALIO.NS,,,ALICON
EIHA.NS,,INE276C01014,4295873425,EIHA.NS,,,EIHAHOTELS
DIRR3.SA,,BRDIRRACNOR0,4297925857,DIRR3.SA,B59VLC7,,DIRR3
DENO.NS,,INE244A01016,4295873343,DENO.NS,,,DENORA
CENT.NS,,INE320B01020,4295874185,CENT.NS,,,CENTUM
BGRS.NS,,INE561C01019,4295873351,BGRS.NS,,,BHARATGEAR
BBRM.NS,,INE050A01025,4295874343,BBRM.NS,,,BBTC
BALP.NS,,INE083D01012,4295872203,BALP.NS,,,BALPHARMA
KAMI.NS,,INE390H01012,4295872852,KAMI.NS,,,KAMDHENU
KALF.NS,,INE314G01014,4295874149,KALF.NS,,,KALYANIFRG
JYBM.NS,,INE571B01028,4295873702,JYBM.NS,,,JAYBARMARU
INRM.NS,,INE873D01024,4295873905,INRM.NS,,,INDOCO
IGLY.NS,,INE560A01015,4295872422,IGLY.NS,,,INDIAGLYCO
IGPT.NS,,INE204A01010,4295872960,IGPT.NS,,,IGPL
PGIL.NS,,INE940H01014,4295873958,PGIL.NS,,,PGIL
HEFI.NS,,INE978A01027,4295874068,HEFI.NS,,,HERITGFOOD
HASS.NS,,INE939D01015,4295873085,HASS.NS,,,HARITASEAT
GOLI.NS,,INE025B01017,4295872337,GOLI.NS,,,GOLDIAM
GLVE.NS,,INE792H01019,4295873501,GLVE.NS,,,GLOBALVECT
GKWL.NS,,INE528A01020,4295941211,GKWL.NS,6399508,,GKWLIMITED
FEDM.NS,,INE529A01010,4295873344,FEDM.NS,,,FMGOETZE
RKFO.NS,,INE399G01015,4295874196,RKFO.NS,,,RKFORGE
RAMD.NS,,INE050H01012,5000008169,RAMD.NS,,,RML
RABL.NS,,INE244J01017,4295872770,RABL.NS,,,RBL
RAMC.NS,,INE614A01028,4295874014,RAMC.NS,6433644,,RAMCOIND
PRWR.NS,,INE372C01029,4295873582,PRWR.NS,,,PRECWIRE
PHIL.NS,,INE602A01023,4295873689,PHIL.NS,,,PHILIPCARB
ORBL.NS,,INE607D01018,4295873952,ORBL.NS,,,ORIENTBELL
NLCA.NS,,INE189I01024,4295872761,NLCA.NS,,,NELCAST
NELC.NS,,INE045B01015,4295873578,NELC.NS,,,NELCO
LUMA.NS,,INE162B01018,4295873308,LUMA.NS,,,LUMAXIND
VAIB.NS,,INE884A01019,4295874081,VAIB.NS,B039M52,,VAIBHAVGBL
UTSM.NS,,INE786F01031,4295874186,UTSM.NS,,,UTTAMSUGAR
UNVR.NS,,INE279A01012,4295872886,UNVR.NS,,,UNIVCABLES
TVEL.NS,,INE236G01019,4295872921,TVEL.NS,,,TVSELECT
TVSC.NS,,INE421C01016,4295872620,TVSC.NS,,,TVSSRICHAK
TEIN.NS,,INE545H01011,4295874038,TEIN.NS,,,TIIL
THEM.NS,,INE083B01016,4295873747,THEM.NS,,,THEMISMED
SUVP.NS,,INE495B01038,4295873926,SUVP.NS,,,SUVEN
SUPE.NS,,INE399C01030,4295873374,SUPE.NS,,,SUPRAJIT
SPTL.NS,,INE663A01017,4295873105,SPTL.NS,,,SUPPETRO
SDCH.NS,,INE659A01023,4295873046,SDCH.NS,,,SUDARSCHEM
JTEK.NS,,INE643A01035,4295872786,JTEK.NS,,,JTEKTINDIA
SOCE.NS,,INE355A01028,4295873811,SOCE.NS,,,SOMANYCERA
CRSV.NS,,INE559D01011,4295874093,CRSV.NS,,,CREST
SEAM.NS,,INE497B01018,4295872944,SEAM.NS,,,SEAMECLTD
SAKS.NS,,INE667G01015,4295873894,SAKS.NS,B08F5J0,,SAKSOFT
VSKI.NS,,INE392A01013,4295874281,VSKI.NS,,,VISAKAIND
